visit_date,device_category,page_type,event_category,event_action,count_events,holiday,weekend,day_off
2022-07-10,desktop,B2B,Engagement,Navigate-PLP Featured Project To PDP,6,0,1,1
2022-07-10,mobile,B2B,Engagement,Navigate-PLP to Project News Article,4,0,1,1
2022-07-10,desktop,B2B,Engagement,Navigate-PLP to Project News Article,1,0,1,1
2022-07-10,mobile,B2B,Engagement,Navigate-PLP to Project Reviews List,1,0,1,1
2022-07-10,desktop,B2B,Engagement,Navigate-PLP to Project Reviews List,1,0,1,1
2022-07-10,desktop,Other Consumer Pages,Engagement,Navigate-Home Featured Project to PDP,11,0,1,1
2022-07-10,mobile,Other Consumer Pages,Engagement,Navigate-Home Featured Project to PDP,36,0,1,1
2022-07-10,tablet,Other Consumer Pages,Engagement,Navigate-Home Featured Project to PDP,1,0,1,1
2022-07-10,mobile,B2B,Engagement,Navigate-PDP Relevant Projects to PDP,83,0,1,1
2022-07-10,desktop,B2B,Engagement,Navigate-PDP Relevant Projects to PDP,25,0,1,1
2022-07-10,tablet,B2B,Engagement,Navigate-PDP Relevant Projects to PDP,5,0,1,1
2022-07-10,mobile,B2B,Engagement,Navigate-PLP to Project Review Article,10,0,1,1
2022-07-10,tablet,SRP,Search,Click-Apply Filter Multisearch Consumer,104,0,1,1
2022-07-10,mobile,SRP,Search,Click-Apply Filter Multisearch Consumer,1,0,1,1
2022-07-10,desktop,LDP,Search,Click-Apply Filter Multisearch Consumer,58,0,1,1
2022-07-10,desktop,SRP,Search,Click-Apply Filter Multisearch Consumer,1826,0,1,1
2022-07-10,tablet,LDP,Search,Click-Apply Filter Multisearch Consumer,3,0,1,1
2022-07-10,desktop,Other Consumer Pages,Search,Click-Apply Filter Multisearch Consumer,284,0,1,1
2022-07-10,tablet,Other Consumer Pages,Search,Click-Apply Filter Multisearch Consumer,22,0,1,1
2022-07-10,mobile,Other Consumer Pages,Search,Click-Apply Filter Multisearch Consumer,1,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-Group Dropdown on Layout Section PDP,1,0,1,1
2022-07-11,tablet,SRP,Sign In,Sign In,1,0,0,0
2022-07-11,desktop,SRP,Sign In,Sign In,302,0,0,0
2022-07-11,tablet,Other Consumer Pages,Sign In,Sign In,23,0,0,0
2022-07-11,desktop,LDP,Sign In,Sign In,100,0,0,0
2022-07-11,desktop,Other Consumer Pages,Sign In,Sign In,2281,0,0,0
2022-07-11,mobile,Other Consumer Pages,Sign In,Sign In,10,0,0,0
2022-07-11,mobile,LDP,Engagement,Share LDP,551,0,0,0
2022-07-11,desktop,LDP,Engagement,Share LDP,179,0,0,0
2022-07-11,tablet,LDP,Engagement,Share LDP,1,0,0,0
2022-07-11,mobile,Other Consumer Pages,Engagement,Share LDP,1,0,0,0
2022-07-11,desktop,SRP,Conversion,Lead-Phone,663,0,0,0
2022-07-11,mobile,SRP,Conversion,Lead-Phone,881,0,0,0
2022-07-11,desktop,Other Consumer Pages,Conversion,Lead-Phone,13,0,0,0
2022-07-11,tablet,SRP,Conversion,Lead-Phone,23,0,0,0
2022-07-11,desktop,LDP,Conversion,Lead-Phone,22664,0,0,0
